2026-07-15 17:31:22,733 | INFO | preprocessor | Running command: C:\Users\Aman_58\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffprobe.EXE -v error -select_streams v:0 -show_entries stream=width,height,r_frame_rate:format=duration -of json D:\ThinkNext Practice\2026-latest-project\Project Raven\raven\projects\raven_1784116882183\source.mp4
2026-07-15 17:31:22,793 | INFO | preprocessor | Running command: C:\Users\Aman_58\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffmpeg.EXE -y -i D:\ThinkNext Practice\2026-latest-project\Project Raven\raven\projects\raven_1784116882183\source.mp4 -vn -acodec pcm_s16le -ar 16000 -ac 1 D:\ThinkNext Practice\2026-latest-project\Project Raven\raven\projects\raven_1784116882183\audio.wav
2026-07-15 17:31:23,237 | INFO | preprocessor | Preprocessing completed successfully: {'video_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784116882183\\source.mp4', 'audio_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784116882183\\audio.wav', 'duration': 18.947483, 'resolution': '320x240', 'fps': 15.0, 'normalized_input_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784116882183\\normalized_input.json'}
2026-07-15 18:08:42,115 | INFO | preprocessor | Running command: C:\Users\Aman_58\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffprobe.EXE -v error -select_streams v:0 -show_entries stream=width,height,r_frame_rate:format=duration -of json D:\ThinkNext Practice\2026-latest-project\Project Raven\raven\projects\raven_1784119100049\source.mp4
2026-07-15 18:08:42,182 | INFO | preprocessor | Running command: C:\Users\Aman_58\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffmpeg.EXE -y -i D:\ThinkNext Practice\2026-latest-project\Project Raven\raven\projects\raven_1784119100049\source.mp4 -vn -acodec pcm_s16le -ar 16000 -ac 1 D:\ThinkNext Practice\2026-latest-project\Project Raven\raven\projects\raven_1784119100049\audio.wav
2026-07-15 18:08:43,004 | INFO | preprocessor | Preprocessing completed successfully: {'video_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784119100049\\source.mp4', 'audio_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784119100049\\audio.wav', 'duration': 226.694, 'resolution': '1920x1080', 'fps': 30.0, 'normalized_input_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784119100049\\normalized_input.json'}
2026-07-15 23:27:50,624 | INFO | preprocessor | Running command: C:\Users\Aman_58\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffprobe.EXE -v error -select_streams v:0 -show_entries stream=width,height,r_frame_rate:format=duration -of json D:\ThinkNext Practice\2026-latest-project\Project Raven\raven\projects\raven_1784138270030\source.mp4
2026-07-15 23:27:50,707 | INFO | preprocessor | Running command: C:\Users\Aman_58\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffmpeg.EXE -y -i D:\ThinkNext Practice\2026-latest-project\Project Raven\raven\projects\raven_1784138270030\source.mp4 -vn -acodec pcm_s16le -ar 16000 -ac 1 D:\ThinkNext Practice\2026-latest-project\Project Raven\raven\projects\raven_1784138270030\audio.wav
2026-07-15 23:27:52,068 | INFO | preprocessor | Preprocessing completed successfully: {'video_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784138270030\\source.mp4', 'audio_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784138270030\\audio.wav', 'duration': 226.694, 'resolution': '1920x1080', 'fps': 30.0, 'normalized_input_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784138270030\\normalized_input.json'}
2026-07-15 23:58:15,246 | INFO | preprocessor | Running command: C:\Users\Aman_58\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffprobe.EXE -v error -select_streams v:0 -show_entries stream=width,height,r_frame_rate:format=duration -of json D:\ThinkNext Practice\2026-latest-project\Project Raven\raven\projects\raven_1784140094851\source.mp4
2026-07-15 23:58:15,304 | INFO | preprocessor | Running command: C:\Users\Aman_58\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffmpeg.EXE -y -i D:\ThinkNext Practice\2026-latest-project\Project Raven\raven\projects\raven_1784140094851\source.mp4 -vn -acodec pcm_s16le -ar 16000 -ac 1 D:\ThinkNext Practice\2026-latest-project\Project Raven\raven\projects\raven_1784140094851\audio.wav
2026-07-15 23:58:16,034 | INFO | preprocessor | Preprocessing completed successfully: {'video_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784140094851\\source.mp4', 'audio_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784140094851\\audio.wav', 'duration': 226.694, 'resolution': '1920x1080', 'fps': 30.0, 'normalized_input_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784140094851\\normalized_input.json'}
